number,objective,practice,principle_category,data_lifecycle
1,Govern and Manage Data as a Strategic Asset,"Establish Data Governance Structures: Prioritize data governance within federal agencies by establishing and supporting Data Councils/Boards to coordinate the effective development, management, compliance, and use, and to communicate the value of data assets.",Ethical Governance,Governance
2,Govern and Manage Data as a Strategic Asset,"Inventory Data Assets: Maintain an inventory of data assets with sufficient completeness, quality, and metadata to facilitate planning, discovery, access, and use.",Ethical Governance,Governance
3,Govern and Manage Data as a Strategic Asset,"Identify High-Value and Authoritative Data Assets: Assign value and cost to data assets based on usefulness, applicable law, regulation, policy, and operational guidance to appropriately prioritize and document stewardship and resource decisions. ",Ethical Governance,Governance
4,Govern and Manage Data as a Strategic Asset,Align Resources to Value and Authority: Periodically review the alignment of resources to the value and authority of datasets to promote consistency and fairness.,Ethical Governance,Governance
5,Govern and Manage Data as a Strategic Asset,Manage High-Value and Authoritative Data Assets: Periodically review high-value and authoritative data assets to identify and document opportunities to improve data management systems and procedures and ensure quality and integrity.,Ethical Governance,Governance
6,Govern and Manage Data as a Strategic Asset,"Publish Data Documentation: Publish comprehensive data documentation in publicly accessible digital repositories to facilitate discovery, collaboration, access, and use, and to ensure traceability.  ",Conscious Design,Access
7,Govern and Manage Data as a Strategic Asset,Assess Data Maturity: Conduct and publish periodic assessments of federal dataset and stewardship maturity to identify strategic opportunities to efficiently improve dataset quality and value.,Ethical Governance,Governance
8,Govern and Manage Data as a Strategic Asset,Manage with a Long View: Include data investments in annual capital planning processes and associated guidance to ensure taxpayer dollars are being used efficiently to leverage data as a strategic long-term asset.,Ethical Governance,Governance
9,Govern and Manage Data as a Strategic Asset,Coordinate Federal Data Assets: Coordinate data assets across federal agencies to fulfill broader federal information needs and reduce collection burden.,Ethical Governance,Governance
10,Govern and Manage Data as a Strategic Asset,"Preserve Federal Data: Preserve federal data as a national asset by regularly reviewing the need for archiving and disposition and providing resources for preserving data in accordance with applicable law, regulation, policy, approved records retention or disposition schedules, and operational guidance. ",Ethical Governance,Disposition
