summary,instance
"When USPTO unified its distribution methods to supply bulk open data, then third parties were able to create new tools and products (Reed Tech’s Pair Data and PEDS) that have improved the examination process.
When USPTO has made data available for AI/ML models, then third party partners were able to create new search tools (the Office Actions dataset and PatentsView project) for more efficient patent processing as well as process data for academic researchers.
 Submitted by: Anonymous.","(1) Patent data
US Patent & Trademark Office (USPTO) Director Andrei Ian cu has prioritized advancing USPTO’s “Big Data capabilities, data analytics and artificial intelligence” to “improve overall performance, as well as fuel data-driven decision and policy making.” (https://www.uspto.gov/about-us/news-updates/statement-director-andrei-iancu-committee-judiciary) 
Governments providing bulk access to patent data enables a whole industry of free and commercial tools that work to make this complicated information accessible and useful to the public.  The USPTO has made available public patent and trademark bulk data (https://www.uspto.gov/learning-and-resources/bulk-data-products).  The availability of this data  has not only enabled more meaningful access for the public, but also has served USPTO with valuable tools from the commercial sector developed using this public data to improve the examination process when searching for prior art. The USPTO supports this ecosystem with timely releases of patent information in various formats through their Bulk Data products (https://www.uspto.gov/learning-and-resources/bulk-data-products). Several important data products are distributed through third parties (PAIR data from Reed Tech) or new systems (PEDS) as a result of historical technical limitations. The USPTO should continue to unify their data distribution methods for providing both efficient incremental updates and the full datasets.
The USPTO has also focused on applying Artificial Intelligence/Machine Learning to patent search tools to increase internal process efficiency and make data accessible for building Machine Learning models.  For the public community, the research datasets and projects by the USPTO Office of the Chief Economist have been invaluable in making new data available for the first time (the Office Actions dataset), as well as releasing previously-public data in easy-to-use formats for Data Mining and Machine Learning (the PatentsView project). The timeliness of updates to these datasets is not as important because the data is used for infrequent training of models that can be applied to new inputs, or for academic research that can tolerate delays.
When developing new applications, collecting and storing metrics on their usage and performance is important to guide and evaluate future improvements. These metrics from internal applications, such as search queries and results clicked on, can also benefit the agencies' goals of applying Machine Learning to improve their systems by training models on these metrics.
(https://www.uspto.gov/learning-and-resources/ip-policy/economic-research/research-datasets)  A key element of enabling this involves linking USPTO data with other international data formats.  Developing uniformity of patent numbering with patent offices internationally would be critical to the USPTOs goals here.   
Information not directly produced by the USPTO can still be important to measuring patent quality and the patent system's effects. The Patent Litigation Docket Reports Data (https://www.uspto.gov/learning-and-resources/electronic-data-products/patent-litigation-docket-reports-data) collects information from PACER about patent cases, which can be used to study patents used in litigation. The USPTO should continue to collect external data."
"When researchers studied administrative and other data in connection with Oregon's Medicaid expansion, they found enrollment was associated with lower depression rates, higher ER use, and no significant change on employment. Submitted by: J-PAL North America.","Understanding the Impact of Expanding Medicaid
Using administrative data, researchers studied the expansion of Oregon’s Medicaid program to inform one of the most salient political debates of the last decade: the impact of providing health insurance to the uninsured. The state of Oregon’s decision in 2008 to allocate application slots in its expanded Medicaid program by lottery offered researchers an extraordinary opportunity to understand the causal impact of the program by comparing the outcomes of lottery winners to lottery losers. In addition to a survey of lottery winners and losers, researchers measured outcomes for over 20,000 individuals using administrative data sources such as hospital records, employment data, and state and federal benefits records. The administrative data allowed researchers to discover a key finding that would have otherwise been obscured by fading memories: When researchers surveyed lottery winners and lottery losers about emergency room use, they found no statistically significant difference. However, by looking at Portland-area hospital records, researchers found that Medicaid increased emergency room use by 40 percent. Other outcomes measured included health care utilization (use of preventive care and emergency services increased), financial strain (catastrophic expenses and other measures decreased), mental health (depression rates declined), physical health (perceptions of health improved, but measured physical health did not detectably change), and employment and earnings (neither improved). Measuring all of these outcomes for both lottery winners and losers would have likely been impossible through surveys alone. 
"
"When the U.S. Census Bureau collects business data from various sectors and governments, then companies are able to compare their operations to industry norms, find new markets, and inform key decisions. 
If the Brazilian government creates five-year projections of specific regions and skill sets to select the best provider of a training curriculum, then they will be better able to meet emerging manpower needs. 
When the Department of Commerce’s Economic and Statistics Administration publishes economic indicators daily, then retailers are able to use neighborhood-level demographics to maintain their inventory across the country. Submitted by: The MITRE Corporation.","Examples of how supporting the production and dissemination of comprehensive, accurate, and objective statistics on the state of the nation helps businesses and markets operate more efficiently.
1. Business data collected by the U.S. Census Bureau from various sectors of the economy, such as manufacturing, construction, retail trade, and health care, along with data collected from state and local governments and international trade, helps businesses compare their operations to industry norms, find new markets, and inform key decisions. Examples are available at https://www.census.gov/programssurveys/economic-census/guidance/data-uses.html2. Data from the Securities and Exchange Commission (SEC) has powered investment firms for decades, and it is now possible to combine SEC data with other data sources for faster, more accurate, and more usable analysis.
3. Statistics on a rolling five-year projection of the manpower needed in specific geographies and skill areas was developed by the Brazilian government26 in collaboration with private companies, trade associations, and labor unions in order to identify the best training provider to co-develop a curriculum with selected companies to meet emerging manpower needs.
4. Economic Indicators published by the Department of Commerce’s Economic & Statistics
Administration are accessed and used by businesses every day to make decisions. Retailers, such as Target, use the government data on neighborhood-level demographics, such as population density, owner-occupancy, and household size, to determine the optimal mix of goods with which to stock its stores throughout the country.
27
[26 https://www.mckinsey.com/industries/public-sector/our-insights/government-by-design-four-principles-for-abetter-public-sector
27 http://www.esa.gov/sites/default/files/the-value-of-the-acs.pdf]"
"When the Securities and Exchange Commission (SEC) provides business data, then  investment firms are able to use more accurate and usable analysis.  Submitted by: The MITRE Corporation.","2. Data from the Securities and Exchange Commission (SEC) has powered investment firms
for decades, and it is now possible to combine SEC data with other data sources for
faster, more accurate, and more usable analysis.
"
"If funding is provided to allow Third Sector to provide technical assistance to government partners in five states for a feasibility study, then Pay for Performance funds can help benefits programs understand the effects of different program design choices. Submitted by: The Third Sector.","
Concept Note: Paying for Outcomes Across Workforce, Education, and Training
THE OPPORTUNITY
Several recent legislative changes have created a unique opportunity over the next nine months. States having a combined SNAP E&T and Workforce plan can use existing Dept of Labor authorities as part of their outcome-oriented project design for SNAP E&T eﬀorts. At the end of the nine-month period, the Pay for Success project can use the ﬁrst expenditures from the $100M Social Impact Partnerships to Pay for Results Act (SIPPRA) fund. To access those funds localities need to have completed a feasibility study. We recommend that FNS sponsor Technical Assistance (TA) to 5 states to determine the feasibility of Pay for Success projects for Education and Training in preparation to utilize SIPPRA funding. Even if only three of the cohort sites are funded, the FNS TA money will be ampliﬁed 15 times by the SIPPRA funds.
SNAP E&T
The U.S. Department of Agriculture (USDA) currently spends over $300 million on Supplemental Nutrition Assistance Program Employment and Training (SNAP E&T) programming nationwide and up to
$1 billion in funding allocated by FY2021. While states are required to administer SNAP E&T programs, they have a large degree of ﬂexibility in deciding whom to serve and which services to provide. Many states are interested in increasing the work requirements for receiving beneﬁts across multiple federal beneﬁts programs. There is a limited understanding, however, of the eﬀects of disparate program models and components—and their long-term eﬀects on participants’ lives.
The Workforce Innovation and Opportunity Act
In 2014, Congress and the Department of Labor (DOL) included key provisions in the Workforce Innovation and Opportunity Act (WIOA) to catalyze local innovation and outcomes-oriented approaches to workforce programming. WIOA Pay-for-Performance (P4P) guidelines now allow workforce boards to set aside funds that will not expire during the traditional two-year funding cycle if they are tied to the achievement of long-term outcomes that measurably improve people's lives. These P4P payments could incentivize workforce providers to meet longer-term performance objectives, such as sustained increases in employment, wage growth, and academic achievement, and reductions in the need for utilization of public beneﬁts and time spent in the justice system.
This shift away from compliance and towards longer-term outcomes through the authorization of P4P contracts, has created an unprecedented opportunity for government to build on the history of performance-based contracting to develop more comprehensive services, and deploy resources in increasingly outcomes-driven ways. Generous funding from the Social Innovation Fund (SIF) allowed Third Sector to work with ﬁve jurisdictions to ultimately launch the nation’s ﬁrst two WIOA P4P contracts in Northern Virginia (2017) and San Diego County (2018).
Combining Funding Streams
Jurisdictions shifting to outcomes-oriented programming can utilize the P4P provisions in WIOA to reward achieving long-term workforce and education outcomes while covering service delivery costs with SNAP E&T funds. Using WIOA authorities would allow states to shift to an outcomes-orientation from compliance-focused programming without requiring changes to current USDA authorities.
 
Starting in 2016, states could submit plans to align state workforce strategy across federal programs through DOL, EDOE, HHS, HUD and USDA. Already, nine states have combined WIOA eﬀorts with SNAP E&T through joint plans, including Washington, Minnesota, Missouri, Arkansas, Louisiana, Alabama, Tennessee, Virginia, and Massachusetts.
Social Impact Partnerships to Pay for Results Act (SIPPRA)
The 2018 Social Impact Partnerships to Pay for Results Act (SIPPRA)1, for the ﬁrst time, establishes a funding stream and structure to support and advance the implementation of Pay for Success contracting impacting Federal outcomes and related costs. The joint SNAP/WIOA P4P initiatives can leverage this
$100 million fund available to state and local governments to pay directly for program outcomes, project feasibility studies, evaluation, and program administration. The authority to review and approve proposals sits with the Secretary of the Treasury, in consultation with the newly formed Federal Interagency Council on Social Impact Partnerships. SIPPRA has the potential to transform the way states think about the provision of human and social services and reduce in the need for federal support by ﬁnding real solutions to the most persistent challenges.
PROPOSED SCOPE OF WORK
Third Sector proposes providing TA on Pay for Success to 5 states that have implemented combined SNAP/WIOA plans. The cohort would include a diverse range of states and agencies that are at diﬀerent points in the process of aligning workforce programming across diﬀerent funding streams. Through the proposed scope of work, states would develop a comprehensive P4P contracting strategy, a prerequisite for utilizing WIOA’s P4P provisions and for accessing the SIPPRA funding.
Third Sector has deep experience in the workforce development and job readiness training programs and has been a national pioneer in partnering with government to implement P4P. We are excited by the opportunity to launch another cohort focused on coordinated outcomes-oriented contracting across the SNAP E&T and WIOA programs. The following section outlines the work required to demonstrate how outcomes-oriented SNAP E&T programming would operate. The overall work would be split into two phases over the course of 15 months with the following goals:
Phase 1: Assess Phase (6 months, 5 sites plus a learning Community, $1.0 - $1.25M)
● Prepare a plan for accessing the SIPPRA funding for Phase 2 and for matching success payments
● Create an engaged coalition among government partners to launch a joint WIOA/SNAP P4P pilot project in 5 states that have combined SNAP E&T/WIOA plans or that otherwise demonstrate readiness for a P4P collaboration
● Develop a data-informed understanding of the population to be served at each site, the referral pathway, and the outcomes to be delivered by the pilot using existing administrative data such as Unemployment Insurance, National Student Clearinghouse, and/or income tax ﬁlings.
● Identify evidence-based or a novel theory of change to achieve desired outcomes and agree on a roadmap for integrating the appropriate service provider, data, and contracting support for launching the pilot
1 http://www.americaforward.org/practice-policy-sippra-little-known-legislation-big-implications/
 
The Assess Phase will end with a deliverable that solidiﬁes a vision of the engaged stakeholders’ goals, the shared understanding of a pilot project, and the roadmap for implementing the pilot.
Phase 2: Build Phase (9 months, funded separately)
● Transition the Assess Phase vision and deliverables to a realized project
● Address any gaps identiﬁed in Assess Phase and build out outcome-oriented contracts/grants with the state agreements oﬃcers
● Launch 2-year pilot projects with robust evaluation plan in at least 3 states
At the end of the Build Phase, processes and contracts will have been ﬁnalized to operationalize an outcomes orientation through the pilot.
Phase 1 and Phase 2 require active participation and leadership from staﬀ and government partners (including departmental decision-makers and staﬀ) to collaborate with Third Sector on these work streams and provide access to program information and data. Working with states that are committed to improving outcomes by implementing new approaches that connect reimbursement to improvement in the lives of those receiving services is critical.
Assess Phase Scope of Work
The cohort model has demonstrated the value of starting in several communities at the same time. Each state learns how others addressed their challenges and they provide feedback on how to scale nationally. The move to outcome-orientation requires changes across the contracting, ﬁnance, services, and data systems. Our experience has shown that this is diﬃcult to accomplish and to get multiple sites to Phase 2, a cohort size of three to ﬁve is needed at the start of the Assess Phase. There are several reasons why moving to outcome-orientation is not practicable in all sites immediately, and the cohort model makes it likely that at least one site will be ready at the end of the Assess Phase.
Each cohort member develops a plan to meet the local need using the best local providers. A detailed work plan is included in the table below. Success payments are used to scale projects by rewarding the most eﬀective providers. The project design must work within constraints on data access, community need, and contracting regulations and a rigorous evaluation framework. As an example of a full project, the SkillSource Group of Northern Virginia used WIOA P4P to revamp their outreach to youth exiting the foster care or the justice system. If providers meet the same performance metrics with these historically underserved groups, they get a roughly 10% bonus to further expand nontraditional outreach.
While the sites develop their plans, the learning community will share best practices within the cohort and also provide USDA with insight on the best path to expand outcome-oriented approaches to more states. This pilot program can help FNS build a nation-wide plan to improve the outcomes of those they serve by rewarding providers who make positive changes in people’s lives.
Work Stream Deliverable
Kickoff
Third Sector will review and ﬁnalize the engagement work plan, including timelines and responsibilities for all parties. This eﬀort will ● Project Work Plan
● Information and data request
 
identify the needed government decision-makers, programmatic experts, and data integrators to support the execution of the work plan. ● Pilot goals and vision, including rosters for Steering Committee and Working Group(s)
Beneficiary Population
Identify speciﬁc eligibility criteria for need, referral, and enrollment of beneﬁciaries. Estimate the number of participants that can feasibly be served by the pilot and understand the opportunities and challenges associated with population ﬂow dynamics. ● Intended Beneﬁciary Population and Referral Pathway Map
Performance Measurement
Prioritize outcome(s) and the metrics used to track success over time. These activities enable stakeholders to understand existing utilization of services, impact potential of the pilot, measurability of the pilot’s results, and government stakeholder enthusiasm to pay and measure pilot outcomes once the pilot is completed. ● Outcome Metric and Baseline Assessment
Data Access
Identiﬁes the data required to measure priority outcomes and identify, refer, and enroll the beneﬁciary population into the pilot. Assess the data capacity of government partners and service providers. Third Sector will document high-level data gaps (if any) and oﬀer initial recommendations to alleviate, work-around, or build capacity in the needed data area(s). ● Data Source Assessment (for enrollment and impact measurement)
Evaluation Design
Evaluation options include a Randomized Control Trial or
quasi-experimental methods to estimate the isolated impact of the intervention on the population being served. Recommendations leverage best practices throughout the country for comparing to a similar population not receiving the intervention. ● Evaluability Assessment with preferred evaluation approach
Intervention Assessment
Understanding of how the anticipated services delivers better outcomes to the beneﬁciary population, including the existing evidence base.
Gauge service provider’s capacity to deliver priority outcomes and meet evaluation needs identiﬁed in the work streams listed above. ● Service Delivery Requirements (programming and resources)
● Service Provider Track Record
Economics and Financing
All of the programmatic works streams listed above will be integrated and articulated in economic terms. Third Sector will articulate the operating cost of service delivery during the pilot, and the related programmatic and economic beneﬁts to accrue to government stakeholders. ● Service Delivery Budget
● Cost - Beneﬁt Analysis
Appropriations and Contracting
Government stakeholder engagement to ensure service delivery can be maintained, replicated, or expanded after the pilot. Identifying state and federal funding sources to support service delivery. Translate the ● Outcomes Value Mapping (by funding stream and outcome)
● Outcomes Orientation Roadmap (for operationalizing referral,
 
pilot design process and outcomes delivery model into ﬁnancial, political, and administrative incentives to be embedded in service policy and procurements. service delivery, data sharing, and evaluation work streams into contracts)
At the conclusion of the Assess Phase, Third Sector will draft a “Go Forward” recommendation on how to proceed into the Build Phase of the engagement. This deliverable will synthesize the vision for the pilot, prioritize challenges in structuring the pilot, identify programmatic and administrative conditions for launching the pilot, and conﬁrm that a Q2 CY19 launch of the pilot is feasible. It will also include a recommendation on how best to apply and win Build Phase support from local sources and SIPPRA funding.
Build Phase Scope of Work
The build phase would be funded separately from this initial project design work. Only those sites where the assessment showed that the pilot would be practical would move forward into this phase. The goal of the Build Phase is to create the concrete agreements needed to launch the pilot project. These agreements include the service contract, the evaluation plan, and other data use agreements as needed to execute the evaluation.
If desired, support for the build phase could be built into the overall TA agreement with funding as an option on the Assess Phase contract. For those states that are ready to move to the Build Phase, the option can be exercised, and the Build Phase work can start independent of an award from SIPPRA.
TIMING, STAFFING AND BUDGET
Most engagements commence within 6-12 weeks of contract signing in order to mobilize key stakeholders and align Third Sector resources to engagement needs. During this period Third Sector requests the key information and contact info from key stakeholders. In this way, we are able to build momentum quickly once the engagement formally starts. Once the project has begun, we ask that the TA-recipients continue supporting the Steering Committee and working group teams with their internal teams requiring about 50% FTE.
Our team typically works at the state’s site at key points throughout an engagement with most daily work done in the Third Sector oﬃces. Staﬃng for each site includes a Director (10% FTE) who will serve as the Relationship Manager and Senior Project Resource, a Manager (50% FTE) who will serve as the Project Lead and runs daily management of the project, and an Associate (50% FTE) who will provide ongoing engagement support.
In addition, the Learning Community has an additional team with a Director at 10% FTE and a Manager and an Associate at 50% FTE each to coordinate with the sponsor and facilitate the cross-site Learning Community and long-term scale-up plan for FNS. In a 6-month engagement, there is typically one in-person cohort meeting and two virtual gatherings using video teleconferencing.
Third Sector is on the GSA schedule (NAICS Code 541618) with established rates and volume discounts. A 6-8 month Assess Phase program at our established rates and applying a 5% volume discount has an approximate price for 5 sites and the Learning Community between $1M and $1.25M.
 
ABOUT THIRD SECTOR
Third Sector Capital Partners (“Third Sector”) is a 501(c)3 nonproﬁt consulting ﬁrm that advises governments, community organizations, and funders on how to unlock public sector innovation to solve pressing challenges such as economic mobility for all and the well-being of our children. Our proven approach is to collaborate with our clients to deﬁne impact, draw actionable insights from data, and implement outcomes-oriented contracting. In the past six years, we have worked with over 40 communities that embrace the challenge of becoming more eﬀective, eﬃcient and transparent with taxpayer dollars.
Together with our partners, Third Sector has helped launch ten outcomes-oriented contracts that transition over $360 million in total public funding towards positive outcomes. Third Sector has launched an initiative to create system-wide impact in America’s workforce development ﬁeld by designing nationally scalable, performance-driven contracts. Beginning with partnerships in Austin, Boston, Denver, Northern Virginia and San Diego, Third Sector is taking advantage of the unique and time-sensitive opportunity resulting from enabling guidelines recently passed in the federal Workforce Innovation and Opportunity Act.
Using SIF federal grants, Third Sector has created two issue-based cohorts of TA recipients–one focused on two-generation outcomes for children and families and the other on WIOA–to promote peer-to-peer learning and eﬃcient scaling of outcomes-oriented contracting.
To select sites for these cohorts, Third Sector held a national competition and selected local governments to receive TA over the course of twelve months to design, implement, and scale P4P initiatives. In addition to site-speciﬁc technical assistance, sites in Third Sector’s cohorts participated in learning communities that featured joint trainings, workshops, and webinars focused on outcomes contracting strategies.
Please contact Brian Beachkofski (bbeachkofski@thirdsectorcap.org, 937-626-2650) for more information or any questions.
"
"If public sector executives at agencies working with electronic evidentiary information embrace best practices related to cloud solutions, they will reap benefits in storage, recovery, management, and compliance. Submitted by: Anonymous.","https://1901group.com/wp-content/uploads/2018/07/WhitePaper1.pdf
A strategy  to managing evidentiary data in a federal environment."
"When NOAA shares weather data, it helps lower economic and human costs of weather-related damage and helps power a multi-billion dollar industry. Submitted by: The MITRE Corporation.","4. Government research, related to leveraging its data, continues to foster economic growth in significant ways. A prime example is NOAA’s providing access to weather data, which has significantly lowered the economic and human costs of weather-related damage through forecasts, enabled the development of a multi-billion-dollar weather derivative financial industry dependent on seasonal data records, and catalyzed a growing million-dollar industry of tools and applications derived from NOAA’s real-time data."
"The University of Michigan proposes updating the Bureau of Justice Statistics State Court Processing Statistics program (SCPS), using the Criminal Justice Administrative Records System (CJARS) as a model. Developed in 2016, the CJARS is an integrated data repository policymakers use to improve public safety, save money, and minimize legally- and socially-imposed penalties. SCPS hasn’t been updated in almost 10 years. Submitted by: University of Michigan.","Criminal Justice Administrative Records System (CJARS) Use Case
We propose a Use Case that updates the dormant Bureau of Justice Statistics State Court Processing Statistics program (SCPS) using CJARS as a model.
The Criminal Justice Administrative Records System (CJARS) is a new integrated data repository designed to fundamentally transform research and reporting on criminal policy in the United States. CJARS collects longitudinal electronic records from police, sheriffs, courts, and correctional agencies and harmonizes these records to track a criminal episode across multiple stages of the justice system. Disparate local records are harmonized into a common national format, and probabilistic record linkage identifies all events associated with a specific individual and reconstructs the sequence of criminal justice activities in response to a given offense. In partnership with the US Census Bureau, these records can be merged with extensive social and economic information and form the basis for a new permanent federal CJARS repository accessible to all qualified researchers.
CJARS has been in pilot development since Fall 2016, during which we have collected criminal justice data on over seventeen million people in nine states, covering more than forty-nine million criminal justice events. These include data on arrests and bookings, case filings and dispositions, and spells of jail, probation, prison, and parole. We have developed a data schema and governance infrastructure with the ability to scale nationally. In order to build stable relationships with data providers, CJARS will provide regular statistical reports to agencies using linked survey and administrative records.
A central goal of CJARS is to give policymakers tools to make data-driven decisions about criminal justice and non-criminal justice programs. Scientifically informed policy can direct more efficient spending to improve public safety, save money, and minimize collateral consequences. In this spirit we would like to propose restarting the dormant Bureau of Justice Statistics State Court Processing Statistics program (SCPS), which has not been updated in almost a decade, using CJARS as a Use Case in the Data Incubator Project.
Features of CJARS make it particularly attractive for producing the SCPS.  An existing and growing cache of historical administrative records would enable the production of retrospective statistical series for previous dormant years as well as benchmarking relative to prior methods.  Additionally, linking with Census data would support the integration of socio-demographic characteristics from surveys and other administrative records that might not otherwise be feasible.
CJARS is only two-years old, so it does not currently have national level coverage. It is a long-term project, designed from the ground up to be sustainable and generate real value for data providers. But SCPS was never a national data collection. And given the time since it was last completed, we think a pilot-level program across 10-20 states could be useful, and generate momentum for CJARS as a critical part of the federal statistical system. The permanent structure of CJARS will also allow SCPS to continue to be produced in a timely manner.
A reincarnated State Court Processing Statistics series with regular updates could transform how these data are used to inform a number of critical policy questions in the United States. Detailed local information on criminal activity over time could help build models on the scope and trajectory of the opioid epidemic. Sentencing information could be used to compare policy and its effectiveness across states. Detailed supervision histories could be used in sampling frames to improve coverage of hard-to-capture subpopulations. Integrated criminal histories could be used to develop population-level profiles of interactions with the criminal justice system. 
Together, we believe both the direct and secondary applications of a CJARS-supported SCPS will strongly advance the public policy interests of the United States.
"
"If data relating to gun violence or made more available, researchers would be better-placed to help policymakers curb harm in this policy area. Submitted by: American Institutes for Research.","Studying Gun Violence on Social Media
According to CDC, every day in the United States, close to 40 people are killed by guns (not including suicides). According to a 2016 study, the gun-related murder rate in the United States is 25 times higher than the rate in 22 other high-income nations.
Increasing numbers of researchers are asking questions about the causes and patterns of gun-related violence in the United States. However, the lack of research data is highly limiting. Better availability of data would help researchers develop a descriptive understanding of the issue, thereby improving policymakers’ ability to craft evidence-based policies to respond to and ultimately reduce gun violence.
AIR has developed a social media monitoring framework and dashboard that is connected to real-time data streams to filter and collect information that users post about “gun violence” topics online (Figure 3). Beyond data collection, the tool allows the capture of any changes in the social media space; that is, it identifies those changes as events or new trends by extracting relevant descriptors from the text data to continuously update which posts become part of the research dataset. Availability of these data creates opportunities for further research, such as network analysis to identify influencers of grassroots movements, sentiment analysis to detect differences among stakeholder groups, and user identification models to map out the diverse set of institutions, individuals, and other groups active within this policy arena."
"When researchers worked with H&R Block, they found that a streamlined aid process improved access to college for individuals with limited means. Submitted by: J-PAL North America.","Simplifying Financial Aid Processes
Through access to national-level data on college enrollment and financial aid, researchers found that a streamlined aid process improved access to college. Researchers partnered with H&R Block to conduct a large-scale randomized evaluation of the impact of providing financial aid application assistance to low-income adults and dependent children from low-income families.  For recipients in the treatment group, H&R Block pre-populated some aspects of the free application for federal student aid (FAFSA) and provided personalized assistance and information about financial aid options. Compared to a control group that received a basic brochure on college financial aid, treatment group individuals were more likely to submit the form and receive aid, as measured in U.S. Department of Education data. Records on college registration from the Ohio Board of Regents and the National Student Clearinghouse allowed researchers to track later outcomes for over 25,000 individuals and determine that simply making it easier to apply for financial aid substantially increased the likelihood that individuals with limited means would attend college and stay in college once they enrolled. In recent years, policymakers have increasingly called for simplifying the financial aid process, and a White House report cited this study as the most direct test of the impact of reducing complexity in the financial aid application process.
"
