"CFO Act Agencies 
",Did the agency complete an assessment of current staff data literacy and data skills?
Department of Agriculture,Incomplete
Department of Commerce,Incomplete
Department of Defense,Incomplete
Department of Education,Complete
Department of Energy,Incomplete
Department of Health and Human Services,Incomplete
Department of Homeland Security,Incomplete
Department of Housing and Urban Development,Incomplete
Department of Justice,Incomplete
Department of Labor,Incomplete
Department of State,Incomplete
Department of the Interior,Incomplete
Department of the Treasury,Incomplete
Department of Transportation,Incomplete
Department of Veterans Affairs,Incomplete
Environmental Protection Agency,Incomplete
General Services Administration,Incomplete
National Aeronautics and Space Administration,Incomplete
National Science Foundation,Complete
Nuclear Regulatory Commission,Incomplete
Office of Personnel Management,Incomplete
Small Business Administration,Complete
Social Security Administration,Incomplete
U.S. Agency for International Development,Incomplete
Total Count of Agencies Completing Assessment:*,3
